City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,-16.07,72,100,0.0,US,1704904679
1,kargasok,59.0556,80.8572,-13.91,80,100,12.07,RU,1704904844
2,adamstown,-25.066,-130.1015,24.03,87,70,3.91,PN,1704904461
3,qaqortoq,60.7167,-46.0333,0.81,90,100,2.42,GL,1704904847
4,sabang,5.8933,95.3214,27.6,78,60,5.67,ID,1704904370
5,anadyr,64.75,177.4833,-27.72,75,0,4.0,RU,1704904850
6,grytviken,-54.2811,-36.5092,5.42,96,100,1.53,GS,1704904528
7,papatowai,-46.5619,169.4708,15.12,72,75,2.35,NZ,1704904472
8,lauro de freitas,-12.8944,-38.3272,32.01,58,75,5.66,BR,1704904854
9,ardmore,34.1743,-97.1436,11.59,38,0,6.17,US,1704904855
10,labrador city,52.9463,-66.9114,-18.05,85,100,3.6,CA,1704904517
11,saipan,15.1355,145.701,26.39,83,0,2.57,MP,1704904858
12,albany,42.6001,-73.9662,8.46,68,96,1.79,US,1704904599
13,turinsk,58.0458,63.696,-25.85,93,100,5.17,RU,1704904860
14,altay,47.8667,88.1167,-1.92,86,100,2.0,CN,1704904861
15,flin flon,54.7682,-101.865,-24.09,77,100,5.14,CA,1704904514
16,puerto natales,-51.7236,-72.4875,13.25,58,75,7.72,CL,1704904540
17,ust-nera,64.5667,143.2,-45.24,97,82,1.16,RU,1704904744
18,whitehorse,60.7161,-135.0538,-18.57,78,75,3.6,CA,1704904623
19,akureyri,65.6835,-18.0878,3.96,70,0,6.69,IS,1704904644
20,waitangi,-43.9535,-176.5597,14.34,73,86,1.79,NZ,1704904432
21,aasiaat,68.7098,-52.8699,-4.05,90,85,5.0,GL,1704904732
22,mwatate,-3.5029,38.3795,21.68,75,77,2.13,KE,1704904872
23,oranjemund,-28.55,16.4333,19.42,81,18,6.56,NA,1704904873
24,ilulissat,69.2167,-51.1,8.01,49,75,9.77,GL,1704904874
25,thunder bay,48.4001,-89.3168,-8.01,73,100,2.57,CA,1704904876
26,blackmans bay,-43.0167,147.3167,14.07,67,0,3.55,AU,1704904457
27,hami,42.8,93.45,-4.38,61,2,0.91,CN,1704904878
28,bredasdorp,-34.5322,20.0403,20.02,73,86,5.93,ZA,1704904427
29,nadi,-17.8,177.4167,26.0,89,75,3.09,FJ,1704904401
30,mountain home,43.133,-115.6912,-1.29,95,40,0.0,US,1704904883
31,mandan,46.8267,-100.8896,-5.58,85,75,8.23,US,1704904884
32,wailua homesteads,22.0669,-159.378,17.44,88,75,0.0,US,1704904505
33,montelibano,7.9829,-75.4229,30.92,64,27,0.34,CO,1704904890
34,siem reap,13.5,104.0,24.91,68,9,1.11,KH,1704904892
35,yellowknife,62.456,-114.3525,-39.71,67,40,3.09,CA,1704904632
36,severo-yeniseyskiy,60.3725,93.0408,-31.35,100,24,1.79,RU,1704904895
37,altsasu,42.9,-2.1652,4.12,99,100,1.08,ES,1704904896
38,fortuna,40.5982,-124.1573,10.92,97,100,8.23,US,1704904897
39,nadym,65.5333,72.5167,-21.22,98,100,6.19,RU,1704904898
